Q50017,R277156
Q65415,R735189
Q65418,R305536
Q65431,R349594
Q65439,R651556
Q65470,R394730
Q65479,R597068
Q65483,R431112
Q65487,R444457
Q65510,R675126
Q65523,R711451
Q65525,R062247
Q65536,R672126
Q65544,R297587
Q65558,R065592
Q65559,R007235
Q65570,R160054
Q65576,R733085
Q65587,R468432
Q65591,R426809
Q65592,R828989
Q65594,R383837
Q65612,R631548
Q65614,R545183
Q65624,R304940
Q65625,R581293
Q65631,R419841
Q65641,R127346
Q65650,R875961
Q65660,R290068
Q65662,R414501
Q65663,R337502
Q65666,R357456
Q65670,R908114
Q65671,R201808
Q65682,R438205
Q65683,R400058
Q65688,R525641
Q65696,R485437
Q65702,R587148
Q65711,R061776
Q65713,R648657
Q65715,R474272
Q65719,R058046
Q65720,R213729
Q65746,R709079
Q65749,R410026
Q65753,R002163
Q65755,R250094
Q65757,R761152
Q65771,R834551
Q65774,R653591
Q65776,R897206
Q65783,R530692
Q65790,R005851
Q65792,R831512
Q65807,R194851
Q65815,R637485
Q65821,R993703
Q65828,R176537
Q65829,R168230
Q65833,R609035
Q65839,R137771
Q65848,R311212
Q65858,R756180
Q65859,R646367
Q65861,R440764
Q65868,R714851
Q65870,R783556
Q65871,R671226
Q65880,R746425
Q65884,R833916
Q65888,R466957
Q65897,R806716
Q65901,R536323
Q65902,R445868
Q65906,R824247
Q65928,R086030
Q65937,R290740
Q65939,R718764
Q65941,R402342
Q65945,R963252
Q65947,R350666
Q65956,R863672
Q65966,R589901
Q65969,R973499
Q65977,R449283
Q65978,R393898
Q65981,R639213
Q65982,R787748
Q65987,R472956
Q65988,R725150
Q65998,R494333
Q65999,R614533
Q66011,R476679
Q66013,R389215
Q66014,R672028
Q66015,R234855
Q66017,R573150
Q66022,R748128
Q66028,R596275
Q66034,R854640
Q66038,R110910
Q66039,R160443
Q66046,R611298
Q66048,R207979
Q66049,R742629
Q66050,R289900
Q66055,R945503
Q66068,R559146
Q66071,R926367
Q66072,R125341
Q66073,R210415
Q66078,R682714
Q66081,R914909
Q66086,R503589
Q66090,R521039
Q66097,R777276
Q66106,R068176
Q66113,R903722
Q66121,R383175
Q66131,R194481
Q66134,R973709
Q66139,R192579
Q66142,R635986
Q66143,R636844
Q66145,R683561
Q66148,R852740
Q66150,R900013
Q66151,R699964
Q66166,R370216
Q66175,R577973
Q66177,R836320
Q66181,R754534
Q66195,R049546
Q66199,R164817
Q66222,R367181
Q66223,R580800
Q66228,R021077
Q66236,R506923
Q66242,R037665
Q66243,R805005
Q66246,R558583
Q66248,R894861
Q66253,R014877
Q66257,R909932
Q66266,R823618
Q66267,R644860
Q66268,R278662
Q66272,R958345
Q66279,R487638
Q66280,R330604
Q66289,R333139
Q66290,R106116
Q66295,R569768
Q66296,R172067
Q66300,R536845
Q66301,R413039
Q66309,R239559
Q66321,R655768
Q66324,R042853
Q66328,R307551
Q66331,R629235
Q66332,R758428
Q66336,R657018
Q66341,R914633
Q66348,R640067
Q66353,R669651
Q66355,R804515
Q66361,R274482
Q66362,R963531
Q66370,R256553
Q66374,R000427
Q66380,R303444
Q66382,R677052
Q66387,R145113
Q66391,R088732
Q66404,R895803
Q66409,R674694
Q66414,R886424
Q66420,R319507
Q66425,R911124
Q66428,R198333
Q66434,R251311
Q66436,R470817
Q66437,R042345
Q66438,R809008
Q66443,R269496
Q66451,R699015
Q66453,R655908
Q66462,R200948
Q66465,R915756
Q66472,R796823
Q66476,R688965
Q66482,R338701
Q66486,R100873
Q66493,R948431
Q66501,R561836
Q66504,R108101
Q66508,R017309
Q66510,R738757
Q66515,R559513
Q66532,R328870
Q66533,R350317
Q66534,R106831
Q66541,R580252
Q66546,R662383
Q66550,R458220
Q66551,R007502
Q66554,R080242
Q66557,R752249
Q66560,R417536
Q66569,R843049
Q66579,R507902
Q66589,R349319
Q66591,R671980
Q66598,R256794
Q66610,R493473
Q66611,R277647
Q66619,R833792
Q66624,R390755
Q66645,R094375
Q66652,R715949
Q66653,R258534
Q66662,R352419
Q66665,R131083
Q66670,R343980
Q66672,R297319
Q66676,R118675
Q66677,R433710
Q66679,R236216
Q66682,R806274
Q66684,R753485
Q66687,R631664
Q66688,R914119
Q66690,R915338
Q66693,R996261
Q66699,R190774
Q66700,R695536
Q66702,R731322
Q66709,R697932
Q66716,R480100
Q66727,R638244
Q66736,R220316
Q66740,R711718
Q66744,R636773
Q66746,R015743
Q66753,R105723
Q66761,R333132
Q66765,R639037
Q66771,R208345
Q66772,R040761
Q66774,R251978
Q66793,R786067
Q66799,R593244
Q66801,R032773
Q66803,R219725
Q66804,R848454
Q66810,R617647
Q66816,R293581
Q66822,R600587
Q66823,R648577
Q66830,R555859
Q66839,R831051
Q66840,R741346
Q66847,R184247
Q66849,R162110
Q66856,R006583
Q66861,R195093
Q66863,R775663
Q66867,R957715
Q66881,R479256
Q66883,R319676
Q66890,R060260
Q66892,R098354
Q66895,R759060
Q66907,R396957
Q66910,R233553
Q66917,R015905
Q66918,R905617
Q66919,R439666
Q66921,R631199
Q66925,R952008
Q66927,R663459
Q66928,R312444
Q66931,R998162
Q66935,R893444
Q66938,R574933
Q66945,R767652
Q66949,R986071
Q66952,R462588
Q66957,R720786
Q66960,R218272
Q66961,R336368
Q66962,R530962
Q66981,R150428
Q66997,R726730
Q66999,R195852
Q67006,R692117
Q67013,R722512
Q67015,R264608
Q67017,R349471
Q67018,R751247
Q67019,R835939
Q67020,R643985
Q67029,R904099
Q67030,R036686
Q67031,R257073
Q67038,R443212
Q67040,R397044
Q67042,R405659
Q67043,R495355
Q67044,R567756
Q67054,R457707
Q67057,R251008
Q67059,R254171
Q67065,R445484
Q67068,R719053
Q67069,R117460
Q67070,R038559
Q67075,R263784
Q67080,R949534
Q67087,R756987
Q67088,R730042
Q67099,R183448
Q67106,R858903
Q67107,R531338
Q67109,R249703
Q67113,R764762
Q67117,R655438
Q67120,R036814
Q67123,R222287
Q67126,R914475
Q67133,R483169
Q67137,R805979
Q67139,R184624
Q67141,R946658
Q67142,R042994
Q67149,R029527
Q67154,R758419
Q67156,R300327
Q67158,R807002
Q67160,R340444
Q67166,R603283
Q67175,R167081
Q67187,R089634
Q67195,R273904
Q67208,R857262
Q67210,R612083
Q67215,R448547
Q67221,R224897
Q67222,R800539
Q67223,R003914
Q67224,R226127
Q67230,R850236
Q67237,R564561
Q67241,R631801
Q67245,R287555
Q67262,R766349
Q67267,R320680
Q67273,R836587
Q67275,R804754
Q67282,R883342
Q67285,R374267
Q67287,R132486
Q67289,R057689
Q67295,R766598
Q67299,R423962
Q67318,R892600
Q67319,R978416
Q67327,R819662
Q67336,R135845
Q67352,R025830
Q67356,R612968
Q67361,R052016
Q67363,R014628
Q67372,R643480
Q67386,R552607
Q67387,R982494
Q67398,R002323
Q67403,R340140
Q67405,R279903
Q67406,R963868
Q67414,R526749
Q67418,R893702
Q67421,R704806
Q67422,R953959
Q67423,R308664
Q67424,R282040
Q67428,R170671
Q67430,R281113
Q67435,R361836
Q67444,R858989
Q67446,R800981
Q67451,R413368
Q67455,R028001
Q67458,R604257
Q67461,R002709
Q67466,R875900
Q67467,R127724
Q67470,R861628
Q67480,R974550
Q67483,R177353
Q67486,R349739
Q67488,R865929
Q67490,R043099
Q67496,R461798
Q67500,R994689
Q67502,R807148
Q67505,R131698
Q67508,R257612
Q67510,R108552
Q67511,R099260
Q67513,R950006
Q67519,R839767
Q67521,R863319
Q67522,R175152
Q67527,R389699
Q67528,R570688
Q67529,R746592
Q67530,R376190
Q67535,R116931
Q67536,R230930
Q67539,R604346
Q67541,R484608
Q67546,R922765
Q67547,R128858
Q67560,R502767
Q67569,R277947
Q67571,R375492
Q67580,R653481
Q67587,R014191
Q67600,R655916
Q67601,R501546
Q67604,R931408
Q67607,R174289
Q67609,R604048
Q67618,R299519
Q67619,R683484
Q67621,R560610
Q67627,R526805
Q67630,R175173
Q67633,R818494
Q67634,R097876
Q67635,R293374
Q67639,R228243
Q67640,R292015
Q67645,R100914
Q67647,R971373
Q67659,R494608
Q67661,R352509
Q67678,R591964
Q67681,R628141
Q67691,R440548
Q67692,R769707
Q67698,R329359
Q67699,R830524
Q67701,R053095
Q67708,R775582
Q67718,R785441
Q67722,R504093
Q67729,R951107
Q67738,R266461
Q67740,R875195
Q67749,R024385
Q67751,R405858
Q67752,R809570
Q67767,R657144
Q67775,R834554
Q67783,R672596
Q67786,R813334
Q67788,R433342
Q67796,R733976
Q67800,R651440
Q67803,R232949
Q67806,R324240
Q67808,R765069
Q67813,R938462
Q67814,R132654
Q67820,R131849
Q67829,R031630
Q67833,R760030
Q67851,R253559
Q67852,R697365
Q67860,R445275
Q67867,R348423
Q67872,R333975
Q67875,R669313
Q67880,R517783
Q67887,R541932
Q67889,R249117
Q67894,R175708
Q67907,R505104
Q67911,R518843
Q67919,R163290
Q67927,R533092
Q67934,R116589
Q67935,R539609
Q67938,R004482
Q67939,R141935
Q67943,R588605
Q67945,R563194
Q67951,R425383
Q67955,R968548
Q67970,R501341
Q67973,R976240
Q67976,R108646
Q67978,R540700
Q67979,R442445
Q67995,R218621
Q67996,R228459
Q67997,R012036
Q67999,R115113
Q68004,R323716
Q68009,R231066
Q68016,R383991
Q68021,R626684
Q68025,R577704
Q68026,R048682
Q68031,R838573
Q68032,R381867
Q68035,R104337
Q68036,R289399
Q68045,R612440
Q68048,R958278
Q68058,R108588
Q68059,R308041
Q68065,R150084
Q68082,R955586
Q68083,R349965
Q68088,R770428
Q68096,R892238
Q68110,R128579
Q68114,R571464
Q68130,R806848
Q68136,R105837
Q68137,R276135
Q68138,R619573
Q68140,R359859
Q68150,R500368
Q68154,R738587
Q68158,R349639
Q68159,R224785
Q68163,R199218
Q68167,R323548
Q68173,R434307
Q68176,R639119
Q68184,R513261
Q68186,R518246
Q68198,R187054
Q68202,R567052
Q68210,R170178
Q68211,R436379
Q68226,R160464
Q68227,R766077
Q68234,R819289
Q68236,R786510
Q68238,R462356
Q68242,R112945
Q68257,R297695
Q68259,R323205
Q68265,R567678
Q68272,R585659
Q68273,R014122
Q68277,R265578
Q68284,R534313
Q68291,R568800
Q68293,R855288
Q68298,R923510
Q68309,R323263
Q68319,R832459
Q68321,R404203
Q68323,R617164
Q68329,R677826
Q68330,R206317
Q68334,R722525
Q68338,R520559
Q68346,R065949
Q68358,R655283
Q68379,R965326
Q68381,R924872
Q68387,R747211
Q68392,R631594
Q68393,R511972
Q68397,R715493
Q68403,R592207
Q68416,R793485
Q68435,R427314
Q68454,R824458
Q68459,R144196
Q68466,R652905
Q68470,R501244
Q68478,R380136
Q68480,R263105
Q68481,R010084
Q68486,R526275
Q68489,R163905
Q68507,R712099
Q68509,R441534
Q68516,R768782
Q68521,R386656
Q68524,R738727
Q68525,R755691
Q68528,R468544
Q68530,R029550
Q68531,R070863
Q68533,R001860
Q68534,R152546
Q68539,R698579
Q68543,R319036
Q68554,R082893
Q68566,R243085
Q68568,R062170
Q68569,R039236
Q68573,R995729
Q68583,R942626
Q68603,R552048
Q68607,R825756
Q68609,R393660
Q68611,R044207
Q68612,R720238
Q68617,R545338
Q68624,R371402
Q68628,R657435
Q68629,R790103
Q68632,R972524
Q68638,R121182
Q68639,R982778
Q68644,R136909
Q68650,R094873
Q68663,R193637
Q68665,R812755
Q68669,R547654
Q68680,R217736
Q68683,R302839
Q68684,R057450
Q68687,R713785
Q68689,R018210
Q68697,R209516
Q68698,R815551
Q68705,R146156
Q68714,R985110
Q68717,R800005
Q68718,R288831
Q68723,R091442
Q68725,R369027
Q68732,R305511
Q68736,R975185
Q68739,R341496
Q68745,R153025
Q68751,R319859
Q68757,R770325
Q68759,R067346
Q68760,R246656
Q68772,R341475
Q68773,R915843
Q68776,R295807
Q68781,R678056
Q68783,R827869
Q68789,R107745
Q68792,R654377
Q68812,R521797
Q68814,R557275
Q68818,R042626
Q68821,R597177
Q68824,R240610
Q68833,R517290
Q68840,R074005
Q68844,R440726
Q68847,R055486
Q68852,R805235
Q68853,R580442
Q68860,R845452
Q68869,R776869
Q68871,R424158
Q68876,R821495
Q68888,R057501
Q68889,R855719
Q68898,R904922
Q68906,R632565
Q68917,R027874
Q68921,R827323
Q68922,R352131
Q68925,R646966
Q68926,R237829
Q68929,R145501
Q68937,R152490
Q68938,R364721
Q68945,R326879
Q68946,R927004
Q68957,R828066
Q68970,R573323
Q68974,R648340
Q68978,R840885
Q68984,R802169
Q68987,R016921
Q68988,R552246
Q68999,R320866
Q69003,R824494
Q69011,R852787
Q69012,R191126
Q69014,R929072
Q69015,R501320
Q69018,R712160
Q69020,R263371
Q69025,R279219
Q69031,R358371
Q69033,R087598
Q69035,R755176
Q69037,R162246
Q69044,R046404
Q69045,R598222
Q69047,R027381
Q69055,R887564
Q69061,R490545
Q69064,R720598
Q69066,R080199
Q69067,R574123
Q69068,R211382
Q69070,R849553
Q69072,R023564
Q69077,R926309
Q69085,R087336
Q69108,R806141
Q69110,R338935
Q69112,R599450
Q69117,R650684
Q69137,R946457
Q69139,R387766
Q69149,R288587
Q69160,R193747
Q69164,R458625
Q69174,R993277
Q69185,R465418
Q69203,R808794
Q69214,R740875
Q69217,R881156
Q69220,R816758
Q69221,R468088
Q69226,R223933
Q69234,R077958
Q69250,R150666
Q69261,R340021
Q69267,R755132
Q69272,R924464
Q69282,R869326
Q69292,R063977
Q69293,R225185
Q69294,R211597
Q69300,R885663
Q69301,R490896
Q69307,R817266
Q69330,R085248
Q69335,R344648
Q69340,R347015
Q69341,R688667
Q69346,R294172
Q69349,R671895
Q69351,R282351
Q69352,R603043
Q69356,R963102
Q69377,R627446
Q69378,R212319
Q69379,R664143
Q69381,R473541
Q69404,R142028
Q69406,R462343
Q69412,R046458
Q69430,R754552
Q69452,R736151
Q69460,R000789
Q69467,R271839
Q69470,R251007
Q69477,R945212
Q69478,R171073
Q69484,R164166
Q69490,R876457
Q69492,R206052
Q69498,R606100
Q69499,R734523
Q69501,R591402
Q69502,R754237
Q69507,R156966
Q69513,R305087
Q69522,R551627
Q69533,R483966
Q69549,R986675
Q69554,R879579
Q69559,R097595
Q69563,R297352
Q69567,R236861
Q69580,R382017
Q69581,R046236
Q69583,R837715
Q69600,R333583
Q69601,R726450
Q69614,R341605
Q69615,R342297
Q69618,R418595
Q69629,R046104
Q69637,R876831
Q69640,R660634
Q69662,R587609
Q69669,R618516
Q69677,R236236
Q69679,R596905
Q69680,R326084
Q69693,R069587
Q69697,R464665
Q69699,R656449
Q69701,R270639
Q69709,R378325
Q69718,R129396
Q69724,R130005
Q69725,R183543
Q69727,R188464
Q69732,R865406
Q69733,R840095
Q69736,R961950
Q69745,R351195
Q69747,R678908
Q69752,R468630
Q69760,R261411
Q69762,R584909
Q69767,R203069
Q69769,R770110
Q69770,R961529
Q69771,R332849
Q69778,R499606
Q69779,R169969
Q69780,R741801
Q69781,R694994
Q69800,R917632
Q69802,R689742
Q69803,R983336
Q69808,R846705
Q69812,R329874
Q69818,R065035
Q69819,R218180
Q69828,R827674
Q69829,R202572
Q69830,R790761
Q69835,R195236
Q69860,R953440
Q69864,R491347
Q69867,R425835
Q69872,R451262
Q69876,R159114
Q69880,R643224
Q69882,R368201
Q69885,R891306
Q69888,R194883
Q69891,R042414
Q69894,R035613
Q69896,R078672
Q69899,R772639
Q69901,R580930
Q69904,R339160
Q69910,R238382
Q69918,R974756
Q69921,R112633
Q69923,R224464
Q69927,R939708
Q69935,R681453
Q69937,R302703
Q69938,R472961
Q69946,R962591
Q69968,R004131
Q69974,R194045
Q69975,R753348
Q69976,R075922
Q69978,R042099
Q69981,R209233
Q69982,R320798
Q69987,R924723
Q69996,R498417
Q70009,R227893
Q70010,R066509
Q70014,R537768
Q70017,R021318
Q70026,R872987
Q70028,R923597
Q70029,R007066
Q70034,R845154
Q70042,R659114
Q70052,R086553
Q70071,R050690
Q70072,R324772
Q70078,R899847
Q70080,R679793
Q70090,R064252
Q70096,R784163
Q70105,R249121
Q70106,R821835
Q70112,R218437
Q70113,R373991
Q70114,R477515
Q70116,R695401
Q70118,R849279
Q70128,R717227
Q70131,R413377
Q70133,R180162
Q70137,R873204
Q70141,R412502
Q70157,R280272
Q70164,R261319
Q70166,R689512
Q70168,R220112
Q70169,R859704
Q70178,R198566
Q70185,R992972
Q70186,R994787
Q70193,R300107
Q70197,R348270
Q70206,R303201
Q70214,R148810
Q70221,R147644
Q70225,R971241
Q70231,R716221
Q70232,R189161
Q70238,R511620
Q70246,R507115
Q70247,R327228
Q70248,R796071
Q70252,R646867
Q70255,R461263
Q70261,R308234
Q70262,R196663
Q70263,R702543
Q70265,R871597
Q70273,R995732
Q70276,R537909
Q70277,R044451
Q70281,R480463
Q70283,R214133
Q70289,R751253
Q70300,R305656
Q70302,R367582
Q70303,R518126
Q70307,R948219
Q70308,R632277
Q70312,R832099
Q70334,R568439
Q70343,R197830
Q70349,R982915
Q70353,R089521
Q70354,R276645
Q70357,R145261
Q70358,R403791
Q70364,R572974
Q70371,R992295
Q70372,R445961
Q70377,R088963
Q70379,R403405
Q70383,R038406
Q70386,R715897
Q70388,R192290
Q70390,R843418
Q70400,R513743
Q70406,R622285
Q70428,R352674
Q70432,R518570
Q70439,R371404
Q70441,R955080
Q70445,R735536
Q70446,R893687
Q70459,R706535
Q70466,R612069
Q70467,R696720
Q70479,R985042
Q70482,R090495
Q70484,R708964
Q70486,R238845
Q70495,R573852
Q70497,R549347
Q70500,R129977
Q70513,R620011
Q70517,R554144
Q70524,R073622
Q70528,R680355
Q70533,R772500
Q70540,R212513
Q70552,R698828
Q70559,R111982
Q70560,R649211
Q70570,R769628
Q70571,R715948
Q70575,R367865
Q70578,R445867
Q70581,R724448
Q70583,R867919
Q70584,R703345
Q70585,R021869
Q70601,R781200
Q70612,R843422
Q70613,R686318
Q70614,R036780
Q70615,R588052
Q70616,R416800
Q70617,R124066
Q70619,R860686
Q70625,R274636
Q70627,R060485
Q70629,R876446
Q70632,R706504
Q70639,R979947
Q70648,R398742
Q70651,R385625
Q70656,R731855
Q70662,R881718
Q70663,R664747
Q70669,R396670
Q70674,R841182
Q70676,R004539
Q70683,R904479
Q70687,R443023
Q70692,R383811
Q70695,R666719
Q70703,R705785
Q70708,R632038
Q70710,R528221
Q70716,R254396
Q70718,R731523
Q70720,R180129
Q70721,R617300
Q70724,R417840
Q70728,R156829
Q70730,R805388
Q70734,R549581
Q70739,R388332
Q70749,R653768
Q70753,R693128
Q70760,R325661
Q70761,R525916
Q70769,R334448
Q70772,R770845
Q70781,R893886
Q70784,R652143
Q70786,R855167
Q70795,R809204
Q70797,R195001
Q70801,R459961
Q70806,R511012
Q70810,R475542
Q70812,R884936
Q70828,R546785
Q70839,R385481
Q70854,R176579
Q70860,R277020
Q70861,R968494
Q70872,R900415
Q70876,R567437
Q70878,R567782
Q70879,R344450
Q70887,R841640
Q70891,R701531
Q70893,R299004
Q70895,R389414
Q70899,R295363
Q70914,R194559
Q70916,R213572
Q70920,R605009
Q70922,R252985
Q70926,R655944
Q70950,R466082
Q70956,R103066
Q70961,R358218
Q70964,R289691
Q70966,R629826
Q70969,R706418
Q70973,R921953
Q70985,R563262
Q70987,R695447
Q71009,R659960
Q71014,R919630
Q71016,R341515
Q71017,R152095
Q71018,R378946
Q71022,R756044
Q71026,R333976
Q71031,R413555
Q71033,R800478
Q71036,R109237
Q71040,R858423
Q71042,R260567
Q71043,R559917
Q71044,R453857
Q71053,R828590
Q71054,R260187
Q71055,R675976
Q71067,R654947
Q71069,R034899
Q71076,R473146
Q71083,R037356
Q71084,R775101
Q71088,R147478
Q71089,R602116
Q71097,R828961
Q71103,R287638
Q71108,R255230
Q71111,R199820
Q71115,R468990
Q71121,R677106
Q71126,R889262
Q71128,R216362
Q71132,R372044
Q71142,R952189
Q71144,R959032
Q71149,R156784
Q71150,R435104
Q71154,R122410
Q71155,R205844
Q71157,R243433
Q71161,R232193
Q71162,R984876
Q71170,R639337
Q71173,R120127
Q71177,R482737
Q71182,R312271
Q71185,R911047
Q71189,R533067
Q71199,R498458
Q71202,R972195
Q71204,R842016
Q71210,R263016
Q71212,R194991
Q71217,R441290
Q71220,R153210
Q71223,R903243
Q71226,R847800
Q71229,R119662
Q71231,R840661
Q71242,R109362
Q71244,R095793
Q71254,R370071
Q71267,R655820
Q71272,R178029
Q71274,R246194
Q71285,R467912
Q71293,R400155
Q71294,R523783
Q71300,R388462
Q71307,R012032
Q71308,R435392
Q71312,R389054
Q71315,R623598
Q71320,R835435
Q71324,R569571
Q71329,R107849
Q71337,R424932
Q71338,R581770
Q71355,R842985
Q71360,R765382
Q71369,R645992
Q71372,R264747
Q71374,R521833
Q71375,R268678
Q71380,R933206
Q71383,R451711
Q71384,R998978
Q71388,R875853
Q71391,R071856
Q71396,R086440
Q71399,R332628
Q71403,R605592
Q71414,R469489
Q71415,R721169
Q71423,R345279
Q71425,R584957
Q71430,R270314
Q71436,R789882
Q71439,R260034
Q71445,R746054
Q71446,R581385
Q71457,R754498
Q71460,R570955
Q71467,R073543
Q71475,R583202
Q71477,R770792
Q71479,R242939
Q71480,R908029
Q71481,R672154
Q71485,R549829
Q71494,R934621
Q71497,R402017
Q71498,R313481
Q71499,R343011
Q71502,R054921
Q71504,R895579
Q71507,R149391
Q71516,R472967
Q71522,R073647
Q71523,R671367
Q71535,R662865
Q71550,R950609
Q71551,R886523
Q71557,R825533
Q71559,R223961
Q71565,R134386
Q71571,R216143
Q71577,R723081
Q71585,R135788
Q71586,R800588
Q71597,R198111
Q71605,R945125
Q71608,R135929
Q71612,R164014
Q71615,R382696
Q71621,R085398
Q71622,R258653
Q71627,R703429
Q71629,R161646
Q71631,R584277
Q71639,R248616
Q71641,R747331
Q71646,R066214
Q71648,R134698
Q71657,R708839
Q71663,R751227
Q71674,R297942
Q71675,R092535
Q71685,R376676
Q71695,R873007
Q71698,R317606
Q71703,R574896
Q71706,R890649
Q71710,R179937
Q71713,R993468
Q71722,R398029
Q71723,R563690
Q71731,R230866
Q71734,R024128
Q71737,R348001
Q71738,R758562
Q71739,R414584
Q71748,R597578
Q71749,R170845
Q71754,R780851
Q71757,R911191
Q71762,R574390
Q71763,R628194
Q71769,R552871
Q71772,R529731
Q71773,R543153
Q71777,R477319
Q71778,R233400
Q71781,R818578
Q71790,R452676
Q71791,R707489
Q71795,R405087
Q71798,R396011
Q71813,R677306
Q71821,R530381
Q71831,R678688
Q71835,R508792
Q71838,R024890
Q71845,R493028
Q71852,R599352
Q71855,R024975
Q71859,R198710
Q71865,R361711
Q71868,R822583
Q71869,R775035
Q71871,R071786
Q71872,R108625
Q71886,R588784
Q71890,R788932
Q71892,R963437
Q71903,R540664
Q71904,R399832
Q71910,R954701
Q71914,R121653
Q71917,R141590
Q71925,R537292
Q71930,R487204
Q71932,R914274
Q71942,R893306
Q71953,R042790
Q71960,R335687
Q71961,R539734
Q71971,R788443
Q71973,R661972
Q71979,R027175
Q71981,R665025
Q71983,R267283
Q71987,R815229
Q71995,R192400
Q72002,R343637
Q72004,R561005
Q72013,R579893
Q72018,R702383
Q72027,R149903
Q72032,R197789
Q72036,R106212
Q72045,R706431
Q72047,R184205
Q72049,R931801
Q72053,R295889
Q72054,R230458
Q72057,R093642
Q72072,R353628
Q72082,R424914
Q72089,R204399
Q72090,R095788
Q72091,R290340
Q72092,R109828
Q72103,R433128
Q72104,R010483
Q72114,R557262
Q72122,R849830
Q72131,R287731
Q72139,R966332
Q72142,R798909
Q72143,R080106
Q72145,R491069
Q72147,R706328
Q72151,R383742
Q72155,R647233
Q72167,R698492
Q72169,R671616
Q72170,R642975
Q72175,R674018
Q72180,R770227
Q72190,R934052
Q72203,R359318
Q72204,R145883
Q72206,R496304
Q72211,R696112
Q72213,R874775
Q72217,R998554
Q72221,R827998
Q72226,R939503
Q72232,R481215
Q72236,R380896
Q72241,R010025
Q72242,R182128
Q72251,R351516
Q72255,R490095
Q72266,R632296
Q72268,R587408
Q72303,R329405
Q72306,R958868
Q72308,R162098
Q72310,R209420
Q72315,R846857
Q72322,R209155
Q72331,R634001
Q72334,R240692
Q72336,R831197
Q72347,R700313
Q72351,R666117
Q72353,R535457
Q72371,R499555
Q72376,R597253
Q72381,R403536
Q72387,R884592
Q72395,R838269
Q72400,R260679
Q72401,R587874
Q72408,R241167
Q72409,R989289
Q72419,R788527
Q72420,R450196
Q72430,R008722
Q72440,R652551
Q72441,R696247
Q72443,R755639
Q72445,R167329
Q72446,R951211
Q72448,R903317
Q72450,R926140
Q72452,R905074
Q72454,R082117
Q72460,R069694
Q72465,R429768
Q72468,R800266
Q72476,R269463
Q72488,R387652
Q72490,R615639
Q72495,R943586
Q72502,R735571
Q72507,R128194
Q72512,R095356
Q72513,R241967
Q72515,R076872
Q72518,R519188
Q72527,R783934
Q72532,R301024
Q72535,R246320
Q72541,R814150
Q72549,R211320
Q72556,R921546
Q72557,R485383
Q72564,R469978
Q72566,R933557
Q72571,R936846
Q72573,R610128
Q72574,R338401
Q72582,R694123
Q72591,R858897
Q72594,R942910
Q72596,R876584
Q72597,R846924
Q72599,R689794
Q72600,R538745
Q72601,R245875
Q72603,R093563
Q72606,R680927
Q72612,R951708
Q72615,R966762
Q72619,R713798
Q72623,R005850
Q72626,R809612
Q72629,R565417
Q72631,R936825
Q72634,R203627
Q72637,R370099
Q72638,R634416
Q72652,R560435
Q72654,R298963
Q72661,R723221
Q72663,R666866
Q72669,R130716
Q72678,R508079
Q72679,R169522
Q72680,R381322
Q72685,R454246
Q72686,R190588
Q72687,R766068
Q72690,R440356
Q72696,R346803
Q72698,R501417
Q72703,R119245
Q72706,R297760
Q72707,R261779
Q72713,R980670
Q72721,R896344
Q72722,R532441
Q72725,R251115
Q72733,R550632
Q72747,R463525
Q72750,R865737
Q72753,R142404
Q72755,R207605
Q72757,R130559
Q72768,R473230
Q72769,R218052
Q72772,R066823
Q72774,R369615
Q72781,R653832
Q72783,R028310
Q72786,R093725
Q72806,R338899
Q72814,R586872
Q72817,R057853
Q72819,R747030
Q72821,R045389
Q72827,R473457
Q72835,R566020
Q72839,R674258
Q72844,R012993
Q72860,R431312
Q72861,R575199
Q72880,R963735
Q72881,R823979
Q72887,R632504
Q72890,R687468
Q72891,R635301
Q72892,R188102
Q72895,R203498
Q72896,R698993
Q72898,R373986
Q72899,R029194
Q72904,R851275
Q72907,R208933
Q72918,R264173
Q72919,R828151
Q72925,R340838
Q72926,R588521
Q72931,R014700
Q72937,R470697
Q72938,R643971
Q72944,R859940
Q72958,R899160
Q72960,R611531
Q72963,R748274
Q72964,R821564
Q72967,R988985
Q72973,R764032
Q72979,R964687
Q72980,R052897
Q72981,R247427
Q72984,R133455
Q72986,R931366
Q72989,R812659
Q72993,R076466
Q72995,R425608
Q72996,R439950
Q73004,R419531
Q73007,R244606
Q73010,R049940
Q73021,R591712
Q73023,R469117
Q73030,R826865
Q73033,R168289
Q73034,R302072
Q73041,R901209
Q73042,R955775
Q73065,R545892
Q73066,R218512
Q73068,R708673
Q73077,R176850
Q73080,R678861
Q73083,R130100
Q73090,R454599
Q73093,R354687
Q73098,R167651
Q73099,R394303
Q73100,R175338
Q73101,R307692
Q73109,R420880
Q73123,R467847
Q73130,R469926
Q73143,R048790
Q73145,R023656
Q73146,R960491
Q73150,R808578
Q73151,R096183
Q73159,R099374
Q73160,R004983
Q73171,R655375
Q73174,R466536
Q73175,R950292
Q73176,R335365
Q73177,R869060
Q73178,R289761
Q73188,R498573
Q73190,R416262
Q73192,R503315
Q73211,R760133
Q73216,R368588
Q73217,R683779
Q73225,R960902
Q73226,R627070
Q73229,R675188
Q73234,R515348
Q73241,R113133
Q73242,R120282
Q73244,R183564
Q73254,R422923
Q73256,R118691
Q73274,R619670
Q73275,R868302
Q73278,R170432
Q73282,R090813
